host_original	host_final	host_group	records	normalization_rule	changed
Mus musculus; voucher 2973	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 2975	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 2980	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 2983	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 2988	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 2993	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 2997	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 2998	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 3002	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 3003	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 3004	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 3006	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 3007	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 3009	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 3013	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 3014	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 3016	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 3021	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 3024	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 3029	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 3306	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 3374	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 3375	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 3383	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 4606_#15	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 4607_#15	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 4654_32	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 4655_32	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 4656_32	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 4657_32	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 4659_32	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 4660_32	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher 5479_010	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher KS13/421	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher KS13/426	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher KS13/439	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher KS13/442	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher KS13/456	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher Mu09/1058	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher Mu09/1068	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher Mu09/1093	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher Mu09/1100	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher Mu09/1103	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher Mu09/1105	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher Mu09/1111	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher Mu09/1114	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus musculus; voucher Mu09/1138	Mus musculus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Mus spicilegus	Mus spicilegus		1	UNCHANGED	NO
Mustela erminea	Mustela erminea		1	UNCHANGED	NO
Myotis alcathoe	Myotis alcathoe		1	UNCHANGED	NO
Myotis bechsteinii	Myotis bechsteinii		1	UNCHANGED	NO
Myotis capaccinii	Myotis capaccinii		1	UNCHANGED	NO
Myotis chinensis	Myotis chinensis		1	UNCHANGED	NO
Nandinia binotata	Nandinia binotata		1	UNCHANGED	NO
Neogale vison	Neogale vison		1	UNCHANGED	NO
Neophocaena asiaeorientalis	Neophocaena asiaeorientalis		1	UNCHANGED	NO
Neoromicia capensis	Neoromicia capensis		1	UNCHANGED	NO
Ninox strenua (powerful owl)	Ninox strenua (powerful owl)		1	UNCHANGED	NO
Nubian ibex	Nubian ibex		1	UNCHANGED	NO
Nyctalus noctula	Nyctalus noctula		1	UNCHANGED	NO
Nycticebus coucang	Nycticebus coucang		1	UNCHANGED	NO
Ochotona alpina	Ochotona alpina		1	UNCHANGED	NO
Odobenus rosmarus divergens (Pacific walrus)	Odobenus rosmarus divergens (Pacific walrus)		1	UNCHANGED	NO
Ondatra zibethicus	Ondatra zibethicus		1	UNCHANGED	NO
Onychoprion fuscatus	Onychoprion fuscatus		1	UNCHANGED	NO
Opheodrys vernalis	Opheodrys vernalis		1	UNCHANGED	NO
Oryctolagus cuniculus (domestic rabbit)	Oryctolagus cuniculus (domestic rabbit)		1	UNCHANGED	NO
Otaria byronia (South American sea lion); male	Otaria byronia (South American sea lion)		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Ovine	Ovine		1	UNCHANGED	NO
Ozobranchus branchiatus	Ozobranchus branchiatus		1	UNCHANGED	NO
Pan troglodytes schweinfurthii voucher 4791	Pan troglodytes schweinfurthii voucher 4791		1	UNCHANGED	NO
Panthera tigris altaica (Amur tiger)	Panthera tigris altaica (Amur tiger)		1	UNCHANGED	NO
Papio hamadryas hamadryas	Papio hamadryas hamadryas		1	UNCHANGED	NO
Papio ursinus (Chacma baboon)	Papio ursinus (Chacma baboon)		1	UNCHANGED	NO
Pavo cristatus (Blue Peafowl)	Pavo cristatus (Blue Peafowl)		1	UNCHANGED	NO
Pavo cristatus (peafowl)	Pavo cristatus (peafowl)		1	UNCHANGED	NO
Pekania pennanti	Pekania pennanti		1	UNCHANGED	NO
Peponocephala electra nasal mucosa	Peponocephala electra nasal mucosa		1	UNCHANGED	NO
Peromyscus leucopus	Peromyscus leucopus		1	UNCHANGED	NO
Persian goitered gazelle	Persian goitered gazelle		1	UNCHANGED	NO
Philantomba monticola	Philantomba monticola		1	UNCHANGED	NO
Phoca groenlandica	Phoca groenlandica		1	UNCHANGED	NO
Phoca vitulina richardsii	Phoca vitulina richardsii		1	UNCHANGED	NO
Phocoena phocoena (Harbour porpoise)	Phocoena phocoena (Harbour porpoise)		1	UNCHANGED	NO
Phoenicopterus chilensis	Phoenicopterus chilensis		1	UNCHANGED	NO
Physeter catodon peripheral pulmonary lymph node	Physeter catodon peripheral pulmonary lymph node		1	UNCHANGED	NO
Pipistrellus pygmaeus	Pipistrellus pygmaeus		1	UNCHANGED	NO
Platycercus elegans (Rosella parrakeet)	Platycercus elegans (Rosella parrakeet)		1	UNCHANGED	NO
Podargus strigoides	Podargus strigoides		1	UNCHANGED	NO
Poecile palustris	Poecile palustris		1	UNCHANGED	NO
Polyplectron malacense (Malayan peacock pheasant)	Polyplectron malacense (Malayan peacock pheasant)		1	UNCHANGED	NO
Pongo pygmaeus (orangutan)	Pongo pygmaeus (orangutan)		1	UNCHANGED	NO
Pongo pygmaeus pygmaeus	Pongo pygmaeus pygmaeus		1	UNCHANGED	NO
Potamochoerus porcus	Potamochoerus porcus		1	UNCHANGED	NO
Priodontes maximus (giant armadillo); male	Priodontes maximus (giant armadillo)		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Procavia capensis (rock hyrax)	Procavia capensis (rock hyrax)		1	UNCHANGED	NO
Pseudorca crassidens	Pseudorca crassidens		1	UNCHANGED	NO
Pseudorca crassidens cervical lymph node and lung tissue	Pseudorca crassidens cervical lymph node and lung tissue		1	UNCHANGED	NO
Pteronotus alitonus	Pteronotus alitonus		1	UNCHANGED	NO
Pteropus poliocephalus	Pteropus poliocephalus		1	UNCHANGED	NO
Puffinus puffinus (Manx Shearwater)	Puffinus puffinus (Manx Shearwater)		1	UNCHANGED	NO
Puma concolor	Puma concolor		1	UNCHANGED	NO
Puma yagouaroundi (jaguarundi)	Puma yagouaroundi (jaguarundi)		1	UNCHANGED	NO
Pyrrhura cruentata	Pyrrhura cruentata		1	UNCHANGED	NO
Pyxis arachnoides	Pyxis arachnoides		1	UNCHANGED	NO
Qingyuan Ma chicken	Qingyuan Ma chicken		1	UNCHANGED	NO
Rangifer tarandus tarandus (mountain reindeer)	Rangifer tarandus tarandus (mountain reindeer)		1	UNCHANGED	NO
Rattus exulans	Rattus exulans		1	UNCHANGED	NO
Rattus rattus diardii (house rat)	Rattus rattus diardii (house rat)		1	UNCHANGED	NO
Rattus tiomanicus	Rattus tiomanicus		1	UNCHANGED	NO
Red-flanked duiker	Red-flanked duiker		1	UNCHANGED	NO
Rhesus macaque	Rhesus macaque		1	UNCHANGED	NO
Rhesus monkey	Rhesus monkey		1	UNCHANGED	NO
Rhinolophus hipposideros	Rhinolophus hipposideros		1	UNCHANGED	NO
Rhinolophus siamensis	Rhinolophus siamensis		1	UNCHANGED	NO
Rhinolophus sp.	Rhinolophus sp.		1	UNCHANGED	NO
Rhynchonycteris naso	Rhynchonycteris naso		1	UNCHANGED	NO
Rousettus aegyptiacus; captive	Rousettus aegyptiacus		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Rupicapra pyrenaica	Rupicapra pyrenaica		1	UNCHANGED	NO
Rusa unicolor	Rusa unicolor		1	UNCHANGED	NO
Rusa unicolor swinhoei	Rusa unicolor swinhoei		1	UNCHANGED	NO
Rusa unicolor swinhoii (Formosan Sambar Deer)	Rusa unicolor swinhoii (Formosan Sambar Deer)		1	UNCHANGED	NO
SIV-infected rhesus macaque housed at the New England Primate Research Center that died of AIDS	SIV-infected rhesus macaque housed at the New England Primate Research Center that died of AIDS		1	UNCHANGED	NO
Saccopteryx bilineata	Saccopteryx bilineata		1	UNCHANGED	NO
Saddle	Saddle		1	UNCHANGED	NO
Saguinus	Saguinus		1	UNCHANGED	NO
Saguinus oedipus	Saguinus oedipus		1	UNCHANGED	NO
Saimiri boliviensis bolviensis	Saimiri boliviensis bolviensis		1	UNCHANGED	NO
Saimiri sciureus macrodon	Saimiri sciureus macrodon		1	UNCHANGED	NO
Saimiri sciureus sciureus	Saimiri sciureus sciureus		1	UNCHANGED	NO
Sarcophilus harrisii (Tasmanian devil)	Sarcophilus harrisii (Tasmanian devil)		1	UNCHANGED	NO
Sheep	Sheep		1	UNCHANGED	NO
Sotalia guianensis (Guiana dolphin)	Sotalia guianensis (Guiana dolphin)		1	UNCHANGED	NO
Sotalia guianensis (Guyana dolphin); female; adult	Sotalia guianensis (Guyana dolphin)		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Southern black-backed gull	Southern black-backed gull		1	UNCHANGED	NO
Southern royal albatross	Southern royal albatross		1	UNCHANGED	NO
Southern steenbok	Southern steenbok		1	UNCHANGED	NO
Speke's gazelle	Speke's gazelle		1	UNCHANGED	NO
Spheniscus magellanicus	Spheniscus magellanicus		1	UNCHANGED	NO
Stenella coeruleoalba; sex: male	Stenella coeruleoalba		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Steno bredanensis (dolphin)	Steno bredanensis (dolphin)		1	UNCHANGED	NO
Steno bredanensis; sex: male	Steno bredanensis		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
Strix aluco	Strix aluco		1	UNCHANGED	NO
Strix uralensis (Ural owl)	Strix uralensis (Ural owl)		1	UNCHANGED	NO
Sturnira lilium	Sturnira lilium		1	UNCHANGED	NO
Sula dactylatra	Sula dactylatra		1	UNCHANGED	NO
Sulphur-crested cockatoo	Sulphur-crested cockatoo		1	UNCHANGED	NO
Sus domesticus	Sus domesticus		1	UNCHANGED	NO
Sus domesticus domesticus	Sus domesticus domesticus		1	UNCHANGED	NO
Sus scrofa familiaris (domestic pig)	Sus scrofa familiaris (domestic pig)		1	UNCHANGED	NO
Terrapene carolina	Terrapene carolina		1	UNCHANGED	NO
Testudo graeca	Testudo graeca		1	UNCHANGED	NO
Tetrao urogallus aquitanicus	Tetrao urogallus aquitanicus		1	UNCHANGED	NO
Thalassarche chlororhynchos (Yellow-nosed Albatross)	Thalassarche chlororhynchos (Yellow-nosed Albatross)		1	UNCHANGED	NO
Three-Yellow chicken	Three-yellow chicken		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Trichechus manatus latirostris	Trichechus manatus latirostris		1	UNCHANGED	NO
Trichechus manatus manatus	Trichechus manatus manatus		1	UNCHANGED	NO
Trichoglossus haematodus	Trichoglossus haematodus		1	UNCHANGED	NO
Trichoglossus moluccanus	Trichoglossus moluccanus		1	UNCHANGED	NO
Tursiops aduncus	Tursiops aduncus		1	UNCHANGED	NO
Tursiops erebennus	Tursiops erebennus		1	UNCHANGED	NO
Tursiops truncatus (adult captive male bottlenose dolphin) K311	Tursiops truncatus (adult captive male bottlenose dolphin) K311		1	UNCHANGED	NO
Tursiops truncatus (common bottlenose dolphin)	Tursiops truncatus (common bottlenose dolphin)		1	UNCHANGED	NO
Tursiops truncatus (dolphin)	Tursiops truncatus (dolphin)		1	UNCHANGED	NO
USA	USA		1	UNCHANGED	NO
Ursus americanus	Ursus americanus		1	UNCHANGED	NO
Ursus arctos (brown bear)	Ursus arctos (brown bear)		1	UNCHANGED	NO
Ursus thibetanus	Ursus thibetanus		1	UNCHANGED	NO
Ursus thibetanus (Asiatic black bear)	Ursus thibetanus (Asiatic black bear)		1	UNCHANGED	NO
Vaal rhebok	Vaal rhebok		1	UNCHANGED	NO
Varecia rubra x Varecia variegata	Varecia rubra x Varecia variegata		1	UNCHANGED	NO
Varecia variegata	Varecia variegata		1	UNCHANGED	NO
Yorkshire Terrier dog	Yorkshire Terrier dog		1	UNCHANGED	NO
Zoo	Zoo		1	UNCHANGED	NO
aborted fetus	Aborted fetus		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
anatid	anatid		1	UNCHANGED	NO
anatid species	Anatid species		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
aoudad	aoudad		1	UNCHANGED	NO
asiatic elephant; female	Asiatic elephant		1	TRUNCATE_AT_FIRST_SEMICOLON;STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
bats	bats		1	UNCHANGED	NO
bighorn sheep	Bighorn sheep		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
blue penguin (Eudyptula minor)	blue penguin (Eudyptula minor)		1	UNCHANGED	NO
bovine; male	bovine		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
broiler breeder	Broiler breeder		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
broiler breeders	Broiler breeders		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
brown layer chicken	brown layer chicken		1	UNCHANGED	NO
buffalo breed Murrah	buffalo breed Murrah		1	UNCHANGED	NO
bull; Holstein Friesian	bull		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
calf; 6 months	calf		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
calf; female	calf		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
caspian seal	Caspian seal		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
cattle calf	Cattle calf		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
cattle with reproductive disorders	cattle with reproductive disorders		1	UNCHANGED	NO
cattle; Madin-Darby bovine kidney (MDBK) cells	cattle		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
chick embryo fibroblast	chick embryo fibroblast		1	UNCHANGED	NO
chicken breed layer	chicken breed layer		1	UNCHANGED	NO
chicken infected with Marek's disease	chicken infected with Marek's disease		1	UNCHANGED	NO
chicken; breed: Harbor	chicken		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
chicken; breed: Harbor; sex: female	chicken		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
chicken; female	chicken		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
chronic fatigue syndrome patient	chronic fatigue syndrome patient		1	UNCHANGED	NO
common wombat	Common wombat		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
country chicken	Country chicken		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
dairy cattle	Dairy cattle		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
dead chicken	Dead chicken		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
dog; American Staffordshire Terrier; male; 4.5 week-old	dog		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
dolphin	dolphin		1	UNCHANGED	NO
domestic cat (himalaya breed)	Domestic cat (himalaya breed)		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
domestic cat (local breed)	Domestic cat (local breed)		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
domestic cat (shirazi breed)	Domestic cat (shirazi breed)		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
equine; female	equine		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
falcon	falcon		1	UNCHANGED	NO
falcon #668	falcon #668		1	UNCHANGED	NO
falcon #806	falcon #806		1	UNCHANGED	NO
fowl	fowl		1	UNCHANGED	NO
great horned owl #10027	great horned owl #10027		1	UNCHANGED	NO
great horned owl #12351	great horned owl #12351		1	UNCHANGED	NO
great horned owl #469	great horned owl #469		1	UNCHANGED	NO
great horned owl #9049	great horned owl #9049		1	UNCHANGED	NO
green sea turtle	green sea turtle		1	UNCHANGED	NO
guinea pig	Guinea pig		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
hog	hog		1	UNCHANGED	NO
human foreskin fibroblast	human foreskin fibroblast		1	UNCHANGED	NO
hybrid Equus sp. - Mules	hybrid Equus sp. - Mules		1	UNCHANGED	NO
hybrid macaw	Hybrid macaw		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
hybrid marine turtle Caretta caretta/Eretmochelys imbricata	hybrid marine turtle Caretta caretta/Eretmochelys imbricata		1	UNCHANGED	NO
latently infected human trigeminal ganglia	latently infected human trigeminal ganglia		1	UNCHANGED	NO
layers; local breeder	layers		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
laying hems	Laying hems		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
loggerhead turtle	Loggerhead turtle		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
monkey	monkey		1	UNCHANGED	NO
moose	moose		1	UNCHANGED	NO
mule	mule		1	UNCHANGED	NO
nasopharyngeal carcinoma patient	nasopharyngeal carcinoma patient		1	UNCHANGED	NO
newborn calf	Newborn calf		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
northern elephant seal Phocid breed (Mirounga angustirostris)	northern elephant seal Phocid breed (Mirounga angustirostris)		1	UNCHANGED	NO
ocelot	ocelot		1	UNCHANGED	NO
olive ridley	Olive ridley		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
partridge chicken	Partridge chicken		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
pigeon 12049	pigeon 12049		1	UNCHANGED	NO
pigeon 3315	pigeon 3315		1	UNCHANGED	NO
pigeon 645	pigeon 645		1	UNCHANGED	NO
piglets	piglets		1	UNCHANGED	NO
porcine fetal	Porcine fetal		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
porcupine	porcupine		1	UNCHANGED	NO
rhesus macaque	Rhesus macaque		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
sambar (Rusa unicolor)	sambar (Rusa unicolor)		1	UNCHANGED	NO
sea otter	Sea otter		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
sheep; asymptomatic carrier	sheep		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
sika deer	Sika deer		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
six month old calf	six month old calf		1	UNCHANGED	NO
vaal rhebok (Pelea capreolus)	Vaal rhebok (Pelea capreolus)		1	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
wild beluga whale; dev_stage: juvenile; sex: female	wild beluga whale		1	TRUNCATE_AT_FIRST_SEMICOLON	YES
